;index;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Discount_text_decorator;Discount_facilitator
175;175;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def746f25d.png; -30%;"
        Aguonoms
    ";"
             Iki 12.11
                ";0;;;;
176;176;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def73b31fd.png;;"
        Jūrų dumblių užkandis WELL DONE, 2 rūšių, 1 pak. (3 vnt. x 4 g)
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;29;;AČIŪ
177;177;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def762fb60.png;;"
        Saulėgrąžų aliejus WELL DONE, 1 l
    ";"
             Iki 12.11
                ";0;1;29;;AČIŪ
178;178;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def756abdb.png; -22%;"
        Nefiltruotas ypač grynas alyvuogių aliejus BARBERA, 1 l
    ";"
             Iki 12.11
                ";0;15;49;"
                19,99
                €
            ";
179;179;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def75ef043.png; -28%;"
        Moliūgų sėklų; graikinių riešutų aliejus ANIRA, 2 rūšių, 250–500 ml
    ";"
             Iki 12.11
                ";0;4;99;"
                6,99
                €
            ";
180;180;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def74e8a38.png;;"
        Padažas HEINZ, 3 rūšių, 400–480 g
    ";"
             Iki 12.11
                ";0;3;45;;AČIŪ
181;181;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def986bec2.png; -25%;"
        SUSLAVIČIAUS padažams ir kečupui
    ";"
             Iki 12.11
                ";0;;;;
182;182;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7aa9a97.png;;"
        Traškus užkandis PRINGLES, 3 rūšių, 165 g
    ";"
             Iki 12.11
                ";0;2;25;;AČIŪ
183;183;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def792f407.png;;"
        Bulvių traškučiai ESTRELLA, 3 rūšių, 180 g
    ";"
             Iki 12.11
                ";0;2;25;;AČIŪ
184;184;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7aeb2bc.png;;"
        Bulvių traškučiai TAFFEL, 3 rūšių, 180 g
    ";"
             Iki 12.11
                ";0;1;99;;AČIŪ
185;185;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def78b1cba.png;;"
        Bulvių traškučiai LAY’S, 3 rūšių, 120 g
    ";"
             Iki 12.11
                ";0;1;65;;AČIŪ
186;186;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7a2f410.png;;"
        Bulvių traškučiai ESTRELLA KETTLE COOKED, 3 rūšių, 120 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;95;;AČIŪ
187;187;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7a6c62e.png;;"
        Žemės riešutai TAFFEL, 3 rūšių, 110–140 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;79;;AČIŪ
188;188;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def79e5cdb.png;2 vnt. už;"
        Žemės riešutai JĖGA, 7 rūšių, 2 pak. x 200 g
    ";"
             Iki 12.11
                ";0;2;39;;AČIŪ
189;189;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def796e151.png; -50%;"
        Graikiniai riešutai SUNNY FRUTOWN, 300 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;2;49;"
                4,99
                €
            ";
190;190;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def79a9532.png;;"
        Skrudintos saulėgrąžos MOGYI, 2 rūšių, 300 g
    ";"
             Iki 12.11
                ";0;2;19;;AČIŪ
191;191;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def68e7d35.png;;"
        Ryžių paplotėliai su druska WELL DONE, 130 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;0;75;;AČIŪ
192;192;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def6833f43.png;;"
        Sūrūs; ruginiai šaukšteliai OLD TOWN BAKERY, 2 rūšių, 200 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;3;75;;AČIŪ
